,minute_idx,start,ziel
0,0,Übergang,Übergang
1,638,Übergang,Übergang
2,641,5C-05.2,5C-05.2
3,702,5C-05.2,5C-05.2
4,798,5C-05.2,5C-05.2
5,825,5C-05.2,5C-05.2
6,847,Küche 5. OG,Küche 5. OG
7,906,Flur 4. OG Übergang,Flur 4. OG Übergang
8,949,5C-05.2,5C-05.2
9,1074,5C-05.2,5C-05.2
10,1126,Übergang,Übergang
11,1227,Übergang,Übergang
12,1257,5C-05.2,5C-05.2
13,1343,5C-05.2,5C-05.2
14,1396,5C-05.2,5C-05.2
15,1445,Küche 5. OG,Küche 5. OG
16,1514,5C-01.1,5C-01.1
17,1545,5C-05.2,5C-05.2
18,1668,5C-05.2,5C-05.2
19,1708,Übergang,Übergang
20,1835,Übergang,Übergang
21,1838,5C-05.2,5C-05.2
22,1865,5C-01.1,5C-01.1
23,1943,Flur 5. OG,Flur 5. OG
24,2028,5C-05.2,5C-05.2
25,2053,Küche 5. OG,Küche 5. OG
26,2089,5C-05.2,5C-05.2
27,2140,5C-05.2,5C-05.2
28,2267,5C-05.2,5C-05.2
29,2334,5C-05.2,5C-05.2
30,2376,Übergang,Übergang
