day,hour,minute,room_actual,minute_idx
216,8,22,5C-02.2,622
216,11,4,5C-02.2,784
216,12,3,Küche 5. OG,843
216,12,42,5C-02.2,882
216,14,22,Flur 4. OG Übergang,982
216,15,41,5C-02.2,1061
216,16,19,5C-02.2,1099
216,16,46,Flur 4. OG Übergang,1126
217,8,32,5C-02.2,1232
217,11,30,5C-02.2,1410
217,13,13,5C-01.1,1513
217,13,52,5C-02.2,1552
217,14,43,4C-05,1603
217,15,30,5C-02.2,1650
217,16,22,4C-05,1702
218,8,31,5C-02.2,1831
218,8,58,5C-01.1,1858
218,10,26,5C-01.1,1946
218,12,5,Küche 5. OG,2045
218,12,43,5C-02.2,2083
218,14,1,5C-02.2,2161
