,minute_idx,PersonenAnzahl,temp,rgb_value
0,0,0.0,18.0,"(221, 96, 76)"
1,1246,1.0,21.1910036385368,"(245, 192, 167)"
2,1250,2.0,21.17530443379845,"(245, 193, 168)"
3,1370,1.0,21.60964646712878,"(246, 164, 134)"
4,1397,2.0,22.272188282690447,"(226, 106, 83)"
5,1449,1.0,18.73256509796457,"(104, 137, 238)"
6,1451,0.0,19.794423885295696,"(178, 203, 251)"
7,1476,1.0,21.5420467314833,"(246, 169, 138)"
8,1514,0.0,18.482776167873407,"(87, 117, 225)"
9,1533,1.0,18.404005487060427,"(82, 110, 220)"
10,1543,2.0,21.65733985497273,"(245, 160, 129)"
11,1675,1.0,19.60248352673408,"(166, 195, 253)"
12,1693,2.0,21.81763862982225,"(242, 147, 117)"
13,1860,1.0,19.47069214933964,"(156, 188, 254)"
14,1865,0.0,19.787027582754213,"(178, 203, 251)"
15,2028,1.0,18.42360344704284,"(83, 112, 221)"
16,2055,0.0,21.00438875061024,"(241, 202, 182)"
17,2089,1.0,19.735840298434475,"(174, 201, 252)"
18,2104,2.0,21.85292170466484,"(241, 144, 114)"
19,2196,1.0,18.55279137014583,"(92, 123, 229)"
20,2281,2.0,19.66166542806504,"(170, 198, 253)"
